9 cavities found for Pan troglodytes.cif #1
Pan troglodytes.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
33.1.2		15.34	26.81	71	1.7	0.64
33.1.4		12.31	29.54	57	0	0
33.1.3		6.48	13.42	30	0.6	0.08
33.1.7		6.26	15.67	29	0.6	0.12

9 cavities found for sciurus_vulgaris.cif #34
sciurus_vulgaris.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
34.1.5		176.9	186.92	819	0	0
34.1.9		30.02	43.69	139	2.16	0.82
34.1.3		25.7	37.94	119	1.7	0.37
34.1.1		19.87	36.19	92	0	0
34.1.6		16.85	32.3	78	0	0
34.1.7		11.45	19.21	53	1.2	0.37
34.1.4		10.58	14.43	49	1.2	0.17
34.1.8		6.91	16.05	32	1.2	0.41
34.1.2		5.62	14.27	26	0.85	0.3

8 cavities found for urocitellus_parryii.cif #35
urocitellus_parryii.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
35.1.1		181.22	194.03	839	0	0
35.1.3		47.52	58.68	220	1.8	0.46
35.1.4		19.87	36.19	92	0	0
35.1.8		18.58	27.19	86	1.2	0.32
35.1.2		18.14	28.9	84	1.9	0.57
35.1.5		16.85	32.3	78	0	0
35.1.7		10.37	19.11	48	0.85	0.16
35.1.6		5.62	12.41	26	0.6	0.12

7 cavities found for Vulpes vulpes.cif #36
Vulpes vulpes.cif Cavities
ID		Volume	Area	Points	Maximum
Depth	Average
Depth
36.1.4		198.94	210.92	921	0	0
36.1.7		56.81	74.55	263	1.8	0.51
36.1.3		47.52	62.56	220	1.47	0.44
36.1.1		19.87	36.19	92	0	0
36.1.2		12.31	29.54	57	0	0
36.1.5		12.31	29.54	57	0	0
36.1.6		12.31	29.54	57	0	0
